code,display,system,include_type,valueset_url,valueset_name
37,QUESTIONNAIRE SIR,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
38,QUESTIONNAIRE PTP,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
39,QUESTIONNAIRE LISTENING SKILLS SCREENING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
40,QUESTIONNAIRE PRESCHOOL SIFTER,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
41,QUESTIONNAIRE TEACH,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
42,QUESTTIONNAIRE COSI-C,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
43,QUESTIONNAIRE DIAL,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
44,QUESTIONNAIRE FEW,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
45,QUESTIONNAIRE FAPI,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
46,QUESTIONNAIRE HABIT,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
47,SPEECH CHILD 6 LING'S SOUND TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
48,SPEECH MONOSYLLABIC TROCHEE-POLYSYLLABIC TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
49,SPEECH MONOSYLLABIC CLOSED-SET TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
50,SPEECH CLOSED-SET SENTENCE TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
51,SPEECH COT,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
52,SPEECH MONOSYLLABIC OPEN-SET TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
53,SPEECH CHILD HINT,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
54,SPEECH CHILD QUICK SIN TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
55,SPEECH CHILD DICHOTIC TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
56,SPEECH CHILD RAPID COMPRESSED TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
57,SPEECH CHILD WORKING MEMORY TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
58,SPEECH CHILD GIN TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
59,SPEECH CHILD FREQUENCY/PITCH PATTERN SEQUENCE TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
