artefact_name,artefact_type,source_archive,source_path,external_standard_dependency,local_or_external,status,notes
ValueSetDentalAlertCodeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Dental\ValueSet-dental-alert-code-my-core.json; ValueSets/value-set-dental-alert-code-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDentalCodeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Dental\ValueSet-dental-code-my-core.json; ValueSets/value-set-dental-code-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDentalHistoryAlertMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Dental\ValueSet-dental-history-alert-my-core.json; ValueSets/value-set-dental-history-alert-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDentalProcedureMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Non Profile\ValueSet-dental-procedure-my-core.json; ValueSets/value-set-dental-procedure-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDentitianMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Dental\ValueSet-dentitian-my-core.json; ValueSets/value-set-dentitian-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDevMilestoneFineMotorMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-dev-milestone-fine-motor-my-core.json; ValueSets/value-set-dev-milestone-fine-motor-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDevMilestoneGrossMotorMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-dev-milestone-gross-motor-my-core.json; ValueSets/value-set-dev-milestone-gross-motor-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDevMilestoneSocialMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-dev-milestone-social-my-core.json; ValueSets/value-set-dev-milestone-social-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDevMilestoneSpeechMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-dev-milestone-speech-my-core.json; ValueSets/value-set-dev-milestone-speech-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDevelopmentalMilestoneMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-dev-milestone-my-core.json; ValueSets/value-set-developmental-milestone-my-core.csv,SNOMED CT,mixed,active,Verified against terminology extract.
